DATE,MYAGM2CNM189N
1998-12-01,10449850000000.000000
1999-01-01,10550030000000
1999-02-01,10777840000000
1999-03-01,10843820000000.000000
1999-04-01,10921830000000.000000
1999-05-01,11006090000000.000000
1999-06-01,11136350000000.000000
1999-07-01,11141410000000.000000
1999-08-01,11282700000000.00000
1999-09-01,11507930000000.000000
1999-10-01,11538960000000.000000
1999-11-01,11655930000000.000000
1999-12-01,11989790000000.000000
2000-01-01,12122040000000
2000-02-01,12158300000000.00000
2000-03-01,12258070000000.000000
2000-04-01,12412190000000.000000
2000-05-01,12405330000000.000000
2000-06-01,12660530000000.000000
2000-07-01,12632390000000
2000-08-01,12779030000000.000000
2000-09-01,13047380000000.000000
2000-10-01,12952240000000.000000
2000-11-01,13099400000000.00000
2000-12-01,13461030000000
2001-01-01,13754360000000
2001-02-01,13621020000000.000000
2001-03-01,13874450000000.000000
2001-04-01,13995000000000.0000
2001-05-01,13901590000000.000000
2001-06-01,14780970000000.000000
2001-07-01,14922870000000.000000
2001-08-01,14994180000000.000000
2001-09-01,15182020000000.000000
2001-10-01,15149730000000.000000
2001-11-01,15408830000000.000000
2001-12-01,15830190000000
2002-01-01,15966860000000
2002-02-01,16093560000000.000000
2002-03-01,16406460000000.000000
2002-04-01,16457060000000.000000
2002-05-01,16606100000000.00000
2002-06-01,16960120000000
2002-07-01,17085110000000.000000
2002-08-01,17325090000000.000000
2002-09-01,17698240000000.000000
2002-10-01,17729420000000.000000
2002-11-01,17973630000000.000000
2002-12-01,18500730000000
2003-01-01,19018830000000
2003-02-01,19010840000000.000000
2003-03-01,19448730000000.000000
2003-04-01,19613010000000.000000
2003-05-01,19950520000000
2003-06-01,20493140000000.000000
2003-07-01,20619310000000.000000
2003-08-01,21059190000000.000000
2003-09-01,21356710000000.000000
2003-10-01,21446940000000
2003-11-01,21635170000000.000000
2003-12-01,22122280000000
2004-01-01,22510190000000
2004-02-01,22705070000000
2004-03-01,23165460000000.000000
2004-04-01,23362790000000
2004-05-01,23484240000000.000000
2004-06-01,23842750000000.000000
2004-07-01,23812700000000
2004-08-01,23972920000000.000000
2004-09-01,24375690000000.000000
2004-10-01,24374030000000.000000
2004-11-01,24713560000000.000000
2004-12-01,25320770000000.000000
2005-01-01,25770850000000
2005-02-01,25935730000000.000000
2005-03-01,26458890000000
2005-04-01,26699270000000.000000
2005-05-01,26924050000000
2005-06-01,27578550000000.000000
2005-07-01,27696630000000.000000
2005-08-01,28128820000000.000000
2005-09-01,28743830000000.000000
2005-10-01,28759160000000.000000
2005-11-01,29235040000000.000000
2005-12-01,29875550000000
2006-01-01,30353860000000
2006-02-01,30451630000000
2006-03-01,31049070000000.000000
2006-04-01,31370180000000.000000
2006-05-01,31670980000000.000000
2006-06-01,32275640000000.000000
2006-07-01,32401080000000.000000
2006-08-01,32788570000000.000000
2006-09-01,33186540000000.000000
2006-10-01,33274720000000.000000
2006-11-01,33750420000000.000000
2006-12-01,34557790000000
2007-01-01,35149880000000
2007-02-01,35865930000000
2007-03-01,36410470000000
2007-04-01,36732650000000
2007-05-01,36971820000000
2007-06-01,37783220000000
2007-07-01,38388490000000
2007-08-01,38720500000000
2007-09-01,39309890000000
2007-10-01,39420420000000
2007-11-01,39975790000000
2007-12-01,40340130000000
2008-01-01,41784617000000
2008-02-01,42103784000000
2008-03-01,42305453000000
2008-04-01,42931372000000
2008-05-01,43622160000000
2008-06-01,44314102000000
2008-07-01,44636217000000
2008-08-01,44884668000000
2008-09-01,45289871000000
2008-10-01,45313332000000
2008-11-01,45864466000000
2008-12-01,47516660000000
2009-01-01,49613530776673.4
2009-02-01,50670807000000
2009-03-01,53062671177858.3
2009-04-01,54048121372903.3
2009-05-01,54823076550114.2
2009-06-01,56894792000000
2009-07-01,57310280000000
2009-08-01,57669900000000
2009-09-01,58540530000000
2009-10-01,58664330000000
2009-11-01,59460470000000
2009-12-01,60622500655155.6
2010-01-01,62560929175401.2
2010-02-01,63607226457206.7
2010-03-01,64994746426638.3
2010-04-01,65656121695582.6
2010-05-01,66335137023124.9
2010-06-01,67392172392530.3
2010-07-01,67405147894808.3
2010-08-01,68750691826412.2
2010-09-01,69647149503367.4
2010-10-01,69977674085635.2
2010-11-01,71033902457308.3
2010-12-01,72585178555593.3
2011-01-01,73388493378832.4
2011-02-01,73613095848151.7
2011-03-01,75813098162833.6
2011-04-01,75738464121629.7
2011-05-01,76340931367226.4
2011-06-01,78082096627241.1
2011-07-01,77292369450324.1
2011-08-01,78085234092749.3
2011-09-01,78740623951675.5
2011-10-01,81682928502654.0
2011-11-01,82549398017113.3
2011-12-01,85159093578679.2
2012-01-01,85589889139657.6
2012-02-01,86717141785883.8
2012-03-01,89556549664190.3
2012-04-01,88960403617308.7
2012-05-01,90004877427416.8
2012-06-01,92499119943634.2
2012-07-01,91907240194736.7
2012-08-01,92489458650000
2012-09-01,94368875340000
2012-10-01,93640427920000
2012-11-01,94483235000000
2012-12-01,97414880200000
2013-01-01,99212925225443.2
2013-02-01,99860082892266.1
2013-03-01,103585837066030.0
2013-04-01,103255190300943.0
2013-05-01,104216916212108.0
2013-06-01,105440369294308.0
2013-07-01,105221234430136.0
2013-08-01,106125642579219.0
2013-09-01,107737916304772.0
2013-10-01,107024216664233.0
2013-11-01,107925705547773.0
2013-12-01,110652497992422.0
2014-01-01,112352120956304.0
2014-02-01,113176083333495.0
2014-03-01,116068738304199.0
2014-04-01,116881267341323.0
2014-05-01,118229395815816.0
2014-06-01,120958719736328.0
2014-07-01,119424923991663.0
2014-08-01,119749908384625.0
2014-09-01,120205141184955.0
2014-10-01,119923631381594.0
2014-11-01,120860594890828.0
2014-12-01,122837480654446.0
2015-01-01,124270956100000
2015-02-01,125738447800000
2015-03-01,127533277661997.0
2015-04-01,128077914306519.0
2015-05-01,130735763080841.0
2015-06-01,133337536453853.0
2015-07-01,135321092482599.0
2015-08-01,135690797692855.0
2015-09-01,135982405527006.0
2015-10-01,136102070462698.0
2015-11-01,137395601474437.0
2015-12-01,139227810919881.0
2016-01-01,141631955112113.0
2016-02-01,142461867792204.0
2016-03-01,144619802900000
2016-04-01,144520958800000
2016-05-01,146169510000000.0000000
2016-06-01,149049182794442.0
2016-07-01,149155871700000
2016-08-01,151098290500000
2016-09-01,151636050000000.0000000
2016-10-01,151948540477789.0
2016-11-01,153043206189849.0
2016-12-01,155006666781086.0
2017-01-01,157594558824035.0
2017-02-01,158291307400000
2017-03-01,159960957300000
2017-04-01,159633186800000
2017-05-01,160136041500000
2017-06-01,163128253000000.00000000
2017-07-01,162899663081962.0
2017-08-01,164515660058768.0
2017-09-01,165566206768995.0
2017-10-01,165343415785166.0
2017-11-01,167001339753416.0
2017-12-01,169023533554568.0
2018-01-01,172081445272825.0
2018-02-01,172907011807809.0
2018-03-01,173985947770954.0
2018-04-01,173768372950626.0
2018-05-01,174306379232330.0
2018-06-01,177017837280000.0
2018-07-01,177619610516409.0
2018-08-01,178867042970175.0
2018-09-01,180166558147986.0
2018-10-01,179556159556340.0
2018-11-01,181317506539151.0
2018-12-01,182674421936410.0
2019-01-01,186593532659733.0
2019-02-01,186742744803641.0
2019-03-01,188941213660000.0
2019-04-01,188467032670746.0
2019-05-01,189115369625331.0
2019-06-01,192136019033428.0
2019-07-01,191941081632526.0
2019-08-01,193549242773720.0
