DATE,MBM0UKM
1870-01-01,123.86
1870-02-01,125.27
1870-03-01,126.64
1870-04-01,127.05
1870-05-01,128.04
1870-06-01,129.66
1870-07-01,128.62
1870-08-01,131.29
1870-09-01,130.93
1870-10-01,131.90
1870-11-01,133.06
1870-12-01,133.16
1871-01-01,132.96
1871-02-01,132.50
1871-03-01,131.47
1871-04-01,133.96
1871-05-01,137.96
1871-06-01,142.07
1871-07-01,141.52
1871-08-01,140.97
1871-09-01,138.74
1871-10-01,144.48
1871-11-01,143.97
1871-12-01,143.29
1872-01-01,145.49
1872-02-01,145.80
1872-03-01,146.21
1872-04-01,145.74
1872-05-01,144.84
1872-06-01,144.76
1872-07-01,149.49
1872-08-01,143.50
1872-09-01,142.71
1872-10-01,140.57
1872-11-01,143.43
1872-12-01,142.32
1873-01-01,142.64
1873-02-01,145.07
1873-03-01,143.29
1873-04-01,143.59
1873-05-01,140.88
1873-06-01,139.95
1873-07-01,139.51
1873-08-01,141.11
1873-09-01,142.83
1873-10-01,139.66
1873-11-01,142.61
1873-12-01,145.38
1874-01-01,145.12
1874-02-01,144.59
1874-03-01,144.94
1874-04-01,143.25
1874-05-01,144.15
1874-06-01,143.16
1874-07-01,138.70
1874-08-01,140.01
1874-09-01,140.41
1874-10-01,142.91
1874-11-01,141.02
1874-12-01,143.48
1875-01-01,144.64
1875-02-01,142.37
1875-03-01,143.69
1875-04-01,140.87
1875-05-01,146.48
1875-06-01,153.85
1875-07-01,152.99
1875-08-01,151.53
1875-09-01,149.21
1875-10-01,148.01
1875-11-01,148.14
1875-12-01,145.93
1876-01-01,143.63
1876-02-01,144.14
1876-03-01,144.25
1876-04-01,147.27
1876-05-01,147.77
1876-06-01,148.17
1876-07-01,153.19
1876-08-01,153.61
1876-09-01,155.75
1876-10-01,157.79
1876-11-01,150.82
1876-12-01,149.45
1877-01-01,147.21
1877-02-01,147.62
1877-03-01,146.76
1877-04-01,145.65
1877-05-01,145.26
1877-06-01,143.66
1877-07-01,143.35
1877-08-01,141.83
1877-09-01,141.24
1877-10-01,142.76
1877-11-01,142.66
1877-12-01,142.69
1878-01-01,146.10
1878-02-01,147.44
1878-03-01,146.26
1878-04-01,143.94
1878-05-01,143.93
1878-06-01,142.37
1878-07-01,139.70
1878-08-01,137.68
1878-09-01,137.48
1878-10-01,143.02
1878-11-01,146.92
1878-12-01,147.88
1879-01-01,150.24
1879-02-01,150.26
1879-03-01,150.89
1879-04-01,154.11
1879-05-01,150.50
1879-06-01,148.48
1879-07-01,151.73
1879-08-01,151.43
1879-09-01,150.95
1879-10-01,148.32
1879-11-01,146.72
1879-12-01,147.60
1880-01-01,146.28
1880-02-01,142.54
1880-03-01,140.66
1880-04-01,140.28
1880-05-01,139.72
1880-06-01,140.46
1880-07-01,139.09
1880-08-01,140.23
1880-09-01,139.62
1880-10-01,142.62
1880-11-01,140.30
1880-12-01,138.52
1881-01-01,137.74
1881-02-01,140.05
1881-03-01,140.18
1881-04-01,140.37
1881-05-01,140.24
1881-06-01,140.95
1881-07-01,140.39
1881-08-01,137.82
1881-09-01,137.37
1881-10-01,138.04
1881-11-01,139.45
1881-12-01,139.61
1882-01-01,138.38
1882-02-01,138.39
1882-03-01,139.82
1882-04-01,139.66
1882-05-01,141.15
1882-06-01,139.65
1882-07-01,141.14
1882-08-01,139.39
1882-09-01,140.98
1882-10-01,141.50
1882-11-01,139.56
1882-12-01,139.97
1883-01-01,139.61
1883-02-01,140.58
1883-03-01,139.47
1883-04-01,136.78
1883-05-01,135.67
1883-06-01,134.26
1883-07-01,135.66
1883-08-01,138.26
1883-09-01,141.16
1883-10-01,139.09
1883-11-01,139.54
1883-12-01,137.69
1884-01-01,138.75
1884-02-01,138.01
1884-03-01,138.29
1884-04-01,140.81
1884-05-01,138.00
1884-06-01,138.48
1884-07-01,138.43
1884-08-01,138.15
1884-09-01,137.07
1884-10-01,136.65
1884-11-01,135.63
1884-12-01,138.73
1885-01-01,137.97
1885-02-01,138.68
1885-03-01,138.36
1885-04-01,142.22
1885-05-01,144.85
1885-06-01,144.22
1885-07-01,146.09
1885-08-01,141.74
1885-09-01,140.68
1885-10-01,135.97
1885-11-01,138.05
1885-12-01,136.80
1886-01-01,140.11
1886-02-01,136.03
1886-03-01,133.72
1886-04-01,133.26
1886-05-01,132.50
1886-06-01,133.61
1886-07-01,132.97
1886-08-01,134.88
1886-09-01,136.00
1886-10-01,133.13
1886-11-01,135.56
1886-12-01,135.80
1887-01-01,134.58
1887-02-01,135.56
1887-03-01,136.43
1887-04-01,137.20
1887-05-01,137.38
1887-06-01,132.85
1887-07-01,134.18
1887-08-01,132.78
1887-09-01,131.49
1887-10-01,131.07
1887-11-01,132.93
1887-12-01,132.44
1888-01-01,134.32
1888-02-01,132.15
1888-03-01,133.61
1888-04-01,130.56
1888-05-01,129.95
1888-06-01,132.81
1888-07-01,132.32
1888-08-01,133.33
1888-09-01,134.54
1888-10-01,136.48
1888-11-01,134.22
1888-12-01,134.53
1889-01-01,135.23
1889-02-01,134.20
1889-03-01,133.87
1889-04-01,133.37
1889-05-01,133.14
1889-06-01,132.62
1889-07-01,133.43
1889-08-01,132.20
1889-09-01,132.69
1889-10-01,135.12
1889-11-01,135.36
1889-12-01,135.05
1890-01-01,135.84
1890-02-01,140.03
1890-03-01,140.55
1890-04-01,141.89
1890-05-01,141.77
1890-06-01,138.90
1890-07-01,136.24
1890-08-01,141.56
1890-09-01,142.36
1890-10-01,141.77
1890-11-01,151.05
1890-12-01,150.29
1891-01-01,147.29
1891-02-01,145.46
1891-03-01,145.18
1891-04-01,143.18
1891-05-01,146.93
1891-06-01,149.78
1891-07-01,150.85
1891-08-01,150.66
1891-09-01,150.36
1891-10-01,145.72
1891-11-01,147.60
1891-12-01,150.56
1892-01-01,150.17
1892-02-01,149.62
1892-03-01,151.80
1892-04-01,153.61
1892-05-01,153.80
1892-06-01,154.67
1892-07-01,154.05
1892-08-01,154.44
1892-09-01,155.60
1892-10-01,155.78
1892-11-01,154.83
1892-12-01,153.65
1893-01-01,154.10
1893-02-01,154.89
1893-03-01,153.59
1893-04-01,152.87
1893-05-01,154.32
1893-06-01,154.51
1893-07-01,156.84
1893-08-01,149.04
1893-09-01,152.11
1893-10-01,153.19
1893-11-01,153.87
1893-12-01,152.41
1894-01-01,152.38
1894-02-01,154.32
1894-03-01,154.15
1894-04-01,153.82
1894-05-01,158.45
1894-06-01,160.42
1894-07-01,162.53
1894-08-01,164.54
1894-09-01,164.16
1894-10-01,162.86
1894-11-01,161.56
1894-12-01,158.13
1895-01-01,160.93
1895-02-01,160.99
1895-03-01,163.09
1895-04-01,163.49
1895-05-01,163.51
1895-06-01,162.65
1895-07-01,164.07
1895-08-01,168.75
1895-09-01,175.82
1895-10-01,173.16
1895-11-01,177.60
1895-12-01,178.14
1896-01-01,181.63
1896-02-01,180.52
1896-03-01,179.12
1896-04-01,178.19
1896-05-01,176.70
1896-06-01,174.90
1896-07-01,176.66
1896-08-01,174.78
1896-09-01,171.93
1896-10-01,168.32
1896-11-01,168.96
1896-12-01,171.97
1897-01-01,171.10
1897-02-01,170.53
1897-03-01,171.74
1897-04-01,172.91
1897-05-01,169.78
1897-06-01,173.10
1897-07-01,169.90
1897-08-01,168.73
1897-09-01,169.48
1897-10-01,170.19
1897-11-01,169.87
1897-12-01,171.73
1898-01-01,168.68
1898-02-01,170.21
1898-03-01,168.52
1898-04-01,169.37
1898-05-01,171.46
1898-06-01,173.32
1898-07-01,172.00
1898-08-01,170.60
1898-09-01,170.07
1898-10-01,171.51
1898-11-01,174.33
1898-12-01,171.23
1899-01-01,174.32
1899-02-01,173.53
1899-03-01,177.72
1899-04-01,175.68
1899-05-01,176.45
1899-06-01,176.55
1899-07-01,179.43
1899-08-01,183.63
1899-09-01,186.49
1899-10-01,191.81
1899-11-01,187.36
1899-12-01,188.79
1900-01-01,190.30
1900-02-01,190.29
1900-03-01,191.00
1900-04-01,191.02
1900-05-01,190.20
1900-06-01,186.98
1900-07-01,181.87
1900-08-01,187.07
1900-09-01,186.41
1900-10-01,186.54
1900-11-01,187.04
1900-12-01,182.73
1901-01-01,187.32
1901-02-01,190.70
1901-03-01,189.93
1901-04-01,188.57
1901-05-01,192.02
1901-06-01,192.71
1901-07-01,193.95
1901-08-01,193.39
1901-09-01,193.30
1901-10-01,193.90
1901-11-01,193.65
1901-12-01,188.61
1902-01-01,191.36
1902-02-01,193.47
1902-03-01,192.43
1902-04-01,192.90
1902-05-01,193.51
1902-06-01,194.66
1902-07-01,192.71
1902-08-01,192.48
1902-09-01,192.93
1902-10-01,191.86
1902-11-01,192.59
1902-12-01,202.99
1903-01-01,193.02
1903-02-01,192.27
1903-03-01,190.89
1903-04-01,193.94
1903-05-01,193.25
1903-06-01,192.68
1903-07-01,194.72
1903-08-01,195.34
1903-09-01,194.11
1903-10-01,193.37
1903-11-01,192.04
1903-12-01,195.01
1904-01-01,194.19
1904-02-01,192.48
1904-03-01,191.90
1904-04-01,192.32
1904-05-01,189.15
1904-06-01,188.16
1904-07-01,183.37
1904-08-01,186.64
1904-09-01,188.35
1904-10-01,189.98
1904-11-01,189.10
1904-12-01,189.13
1905-01-01,186.83
1905-02-01,184.15
1905-03-01,187.31
1905-04-01,183.48
1905-05-01,187.92
1905-06-01,187.76
1905-07-01,187.82
1905-08-01,187.64
1905-09-01,189.75
1905-10-01,188.62
1905-11-01,191.39
1905-12-01,190.17
1906-01-01,191.57
1906-02-01,194.50
1906-03-01,193.67
1906-04-01,193.31
1906-05-01,190.46
1906-06-01,194.31
1906-07-01,194.48
1906-08-01,194.24
1906-09-01,192.28
1906-10-01,188.74
1906-11-01,194.41
1906-12-01,194.27
1907-01-01,196.38
1907-02-01,197.44
1907-03-01,198.24
1907-04-01,206.66
1907-05-01,201.65
1907-06-01,201.21
1907-07-01,200.07
1907-08-01,204.38
1907-09-01,205.17
1907-10-01,202.41
1907-11-01,198.58
1907-12-01,197.95
1908-01-01,199.96
1908-02-01,200.60
1908-03-01,199.68
1908-04-01,197.69
1908-05-01,200.23
1908-06-01,197.78
1908-07-01,197.43
1908-08-01,197.15
1908-09-01,196.46
1908-10-01,199.99
1908-11-01,203.39
1908-12-01,208.82
1909-01-01,201.24
1909-02-01,200.70
1909-03-01,205.03
1909-04-01,203.83
1909-05-01,201.84
1909-06-01,213.71
1909-07-01,204.54
1909-08-01,204.95
1909-09-01,201.86
1909-10-01,203.50
1909-11-01,205.70
1909-12-01,211.35
1910-01-01,205.31
1910-02-01,206.93
1910-03-01,204.63
1910-04-01,207.67
1910-05-01,209.31
1910-06-01,216.30
1910-07-01,215.73
1910-08-01,207.52
1910-09-01,210.56
1910-10-01,206.31
1910-11-01,204.63
1910-12-01,207.57
1911-01-01,208.94
1911-02-01,208.16
1911-03-01,210.84
1911-04-01,213.31
1911-05-01,214.02
1911-06-01,215.80
1911-07-01,216.96
1911-08-01,213.41
1911-09-01,215.91
1911-10-01,217.80
1911-11-01,215.18
1911-12-01,215.42
1912-01-01,215.06
1912-02-01,217.47
1912-03-01,217.00
1912-04-01,222.30
1912-05-01,220.63
1912-06-01,218.35
1912-07-01,218.79
1912-08-01,220.55
1912-09-01,220.16
1912-10-01,216.16
1912-11-01,217.20
1912-12-01,213.01
1913-01-01,218.51
1913-02-01,222.67
1913-03-01,226.79
1913-04-01,225.74
1913-05-01,228.66
1913-06-01,226.59
1913-07-01,229.05
1913-08-01,229.07
1913-09-01,229.97
1913-10-01,225.54
1913-11-01,228.03
1913-12-01,241.96
1914-01-01,237.55
1914-02-01,231.31
1914-03-01,231.98
1914-04-01,231.51
1914-05-01,232.66
1914-06-01,233.83
1914-07-01,241.80
1914-08-01,302.83
1914-09-01,333.34
1914-10-01,332.59
1914-11-01,368.40
1914-12-01,340.34
1915-01-01,331.66
1915-02-01,335.29
1915-03-01,320.29
1915-04-01,323.98
1915-05-01,326.46
1915-06-01,344.06
1915-07-01,296.62
1915-08-01,299.88
1915-09-01,307.85
1915-10-01,323.02
1915-11-01,332.58
1915-12-01,330.55
1916-01-01,335.20
1916-02-01,346.24
1916-03-01,360.71
1916-04-01,373.97
1916-05-01,378.76
1916-06-01,384.15
1916-07-01,375.25
1916-08-01,375.64
1916-09-01,376.37
1916-10-01,373.93
1916-11-01,374.94
1916-12-01,385.04
1917-01-01,388.89
1917-02-01,401.75
1917-03-01,389.70
1917-04-01,379.19
1917-05-01,386.76
1917-06-01,397.23
1917-07-01,402.81
1917-08-01,416.14
1917-09-01,418.72
1917-10-01,420.08
1917-11-01,429.03
1917-12-01,432.19
1918-01-01,445.86
1918-02-01,459.77
1918-03-01,479.64
1918-04-01,488.35
1918-05-01,504.30
1918-06-01,499.11
1918-07-01,518.58
1918-08-01,522.67
1918-09-01,538.03
1918-10-01,543.52
1918-11-01,556.00
1918-12-01,572.29
1919-01-01,571.23
1919-02-01,579.96
1919-03-01,592.19
1919-04-01,611.31
1919-05-01,596.03
1919-06-01,601.94
1919-07-01,608.62
1919-08-01,599.40
1919-09-01,607.55
1919-10-01,609.87
1919-11-01,619.43
1919-12-01,676.48
1920-01-01,632.75
1920-02-01,632.46
1920-03-01,613.01
1920-04-01,622.85
1920-05-01,621.93
1920-06-01,690.02
1920-07-01,634.23
1920-08-01,614.05
1920-09-01,630.96
1920-10-01,630.43
1920-11-01,612.63
1920-12-01,664.92
1921-01-01,607.36
1921-02-01,601.17
1921-03-01,615.88
1921-04-01,610.71
1921-05-01,602.39
1921-06-01,602.69
1921-07-01,588.46
1921-08-01,597.04
1921-09-01,582.93
1921-10-01,591.36
1921-11-01,601.01
1921-12-01,558.71
1922-01-01,591.47
1922-02-01,598.89
1922-03-01,578.45
1922-04-01,575.73
1922-05-01,571.11
1922-06-01,556.69
1922-07-01,551.31
1922-08-01,543.89
1922-09-01,545.12
1922-10-01,549.90
1922-11-01,543.14
1922-12-01,540.94
1923-01-01,544.44
1923-02-01,538.44
1923-03-01,537.30
1923-04-01,536.31
1923-05-01,532.71
1923-06-01,530.51
1923-07-01,535.56
1923-08-01,532.02
1923-09-01,531.09
1923-10-01,529.49
1923-11-01,529.81
1923-12-01,542.71
1924-01-01,531.20
1924-02-01,533.99
1924-03-01,537.25
1924-04-01,535.83
1924-05-01,533.25
1924-06-01,543.73
1924-07-01,531.80
1924-08-01,534.73
1924-09-01,535.33
1924-10-01,537.01
1924-11-01,540.63
1924-12-01,544.82
1925-01-01,530.07
1925-02-01,542.16
1925-03-01,540.39
1925-04-01,539.24
1925-05-01,541.75
1925-06-01,547.40
1925-07-01,548.52
1925-08-01,550.44
1925-09-01,547.54
1925-10-01,539.97
1925-11-01,540.20
1925-12-01,536.53
1926-01-01,525.75
1926-02-01,533.78
1926-03-01,532.51
1926-04-01,534.36
1926-05-01,544.48
1926-06-01,539.53
1926-07-01,535.62
1926-08-01,535.83
1926-09-01,534.75
1926-10-01,539.02
1926-11-01,538.41
1926-12-01,536.28
1927-01-01,537.64
1927-02-01,533.78
1927-03-01,534.32
1927-04-01,542.33
1927-05-01,538.58
1927-06-01,533.79
1927-07-01,535.60
1927-08-01,535.71
1927-09-01,534.97
1927-10-01,540.26
1927-11-01,538.54
1927-12-01,538.92
1928-01-01,544.37
1928-02-01,539.82
1928-03-01,542.05
1928-04-01,538.64
1928-05-01,536.08
1928-06-01,541.85
1928-07-01,557.84
1928-08-01,552.67
1928-09-01,555.08
1928-10-01,547.27
1928-11-01,548.04
1928-12-01,545.68
1929-01-01,543.03
1929-02-01,548.76
1929-03-01,547.91
1929-04-01,544.93
1929-05-01,545.81
1929-06-01,542.91
1929-07-01,533.32
1929-08-01,525.46
1929-09-01,525.79
1929-10-01,523.16
1929-11-01,524.11
1929-12-01,529.89
1930-01-01,542.66
1930-02-01,540.54
1930-03-01,542.52
1930-04-01,551.16
1930-05-01,543.73
1930-06-01,530.42
1930-07-01,540.16
1930-08-01,542.09
1930-09-01,542.69
1930-10-01,543.13
1930-11-01,550.73
1930-12-01,546.39
1931-01-01,531.89
1931-02-01,531.98
1931-03-01,530.19
1931-04-01,526.30
1931-05-01,532.39
1931-06-01,546.32
1931-07-01,534.13
1931-08-01,532.08
1931-09-01,530.46
1931-10-01,538.15
1931-11-01,528.85
1931-12-01,536.21
1932-01-01,531.65
1932-02-01,531.68
1932-03-01,528.03
1932-04-01,522.45
1932-05-01,530.34
1932-06-01,537.32
1932-07-01,545.62
1932-08-01,553.40
1932-09-01,551.93
1932-10-01,548.87
1932-11-01,553.11
1932-12-01,525.37
1933-01-01,549.36
1933-02-01,566.41
1933-03-01,589.15
1933-04-01,589.82
1933-05-01,586.01
1933-06-01,594.81
1933-07-01,590.52
1933-08-01,594.78
1933-09-01,601.40
1933-10-01,606.13
1933-11-01,604.49
1933-12-01,602.33
1934-01-01,609.76
1934-02-01,603.29
1934-03-01,607.70
1934-04-01,605.98
1934-05-01,605.39
1934-06-01,596.14
1934-07-01,599.17
1934-08-01,593.22
1934-09-01,599.12
1934-10-01,606.69
1934-11-01,604.60
1934-12-01,600.92
1935-01-01,602.16
1935-02-01,605.73
1935-03-01,610.56
1935-04-01,607.37
1935-05-01,605.37
1935-06-01,605.08
1935-07-01,601.23
1935-08-01,601.03
1935-09-01,595.61
1935-10-01,587.19
1935-11-01,603.01
1935-12-01,600.83
1936-01-01,611.96
1936-02-01,618.93
1936-03-01,611.12
1936-04-01,614.64
1936-05-01,607.04
1936-06-01,618.43
1936-07-01,634.15
1936-08-01,658.85
1936-09-01,650.47
1936-10-01,647.47
1936-11-01,658.79
1936-12-01,653.40
1937-01-01,654.41
1937-02-01,663.51
1937-03-01,654.51
1937-04-01,663.33
1937-05-01,674.35
1937-06-01,684.93
1937-07-01,673.32
1937-08-01,676.67
1937-09-01,678.98
1937-10-01,674.11
1937-11-01,672.85
1937-12-01,688.84
1938-01-01,694.82
1938-02-01,686.60
1938-03-01,700.18
1938-04-01,696.93
1938-05-01,686.77
1938-06-01,695.15
1938-07-01,694.28
1938-08-01,684.80
1938-09-01,673.60
1938-10-01,685.37
1938-11-01,681.09
1938-12-01,690.89
1939-01-01,695.81
1939-02-01,688.82
1939-03-01,686.13
1939-04-01,685.30
1939-05-01,682.41
1939-06-01,684.77
1939-07-01,687.02
1939-08-01,707.53
1939-09-01,732.94
1939-10-01,744.89
1939-11-01,749.32
1939-12-01,727.74
1940-01-01,726.88
1940-02-01,739.85
1940-03-01,744.84
1940-04-01,750.18
1940-05-01,737.84
1940-06-01,776.32
1940-07-01,792.69
1940-08-01,806.43
1940-09-01,796.87
1940-10-01,804.96
1940-11-01,810.98
1940-12-01,797.46
1941-01-01,794.64
1941-02-01,820.55
1941-03-01,821.91
1941-04-01,833.85
1941-05-01,859.29
1941-06-01,865.80
1941-07-01,876.43
1941-08-01,872.31
1941-09-01,921.07
1941-10-01,919.88
1941-11-01,943.07
1941-12-01,1017.18
1942-01-01,992.45
1942-02-01,986.86
1942-03-01,1009.57
1942-04-01,1023.83
1942-05-01,1045.67
1942-06-01,1037.78
1942-07-01,1084.46
1942-08-01,1093.87
1942-09-01,1074.92
1942-10-01,1098.88
1942-11-01,1113.16
1942-12-01,1183.73
1943-01-01,1185.24
1943-02-01,1202.14
1943-03-01,1169.27
1943-04-01,1241.57
1943-05-01,1247.87
1943-06-01,1310.07
1943-07-01,1242.53
1943-08-01,1235.53
1943-09-01,1235.73
1943-10-01,1321.18
1943-11-01,1322.91
1943-12-01,1339.62
1944-01-01,1345.78
1944-02-01,1373.96
1944-03-01,1408.88
1944-04-01,1417.46
1944-05-01,1394.90
1944-06-01,1437.77
1944-07-01,1425.50
1944-08-01,1469.53
1944-09-01,1480.73
1944-10-01,1483.95
1944-11-01,1496.76
1944-12-01,1516.20
1945-01-01,1523.15
1945-02-01,1532.70
1945-03-01,1541.29
1945-04-01,1553.58
1945-05-01,1593.28
1945-06-01,1625.34
1945-07-01,1648.82
1945-08-01,1645.52
1945-09-01,1680.09
1945-10-01,1665.82
1945-11-01,1679.51
1945-12-01,1677.57
1946-01-01,1735.29
1946-02-01,1708.82
1946-03-01,1724.17
1946-04-01,1730.28
1946-05-01,1736.99
1946-06-01,1755.36
1946-07-01,1715.58
